Year,Grade_Level,Assessment,Program,Board,Sex,Adaptation,IPP,Exemption,Eligible,Math_Score,Math_Level
2017-18,6,M,English,HRSB,M,,,,Yes,532.64,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,737.83,Level 4
2017-18,6,M,English,SSRSB,M,,,,Yes,404.45,Level 2
2017-18,6,M,English,CCRSB,F,,,,Yes,587.81,Level 3
2017-18,6,M,English,CCRSB,F,,,,Yes,474.72,Level 3
2017-18,6,M,English,AVRSB,F,Yes,,,Yes,331.26,Level 1
2017-18,6,M,English,HRSB,M,,,,Yes,495.46,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,555.85,Level 3
2017-18,6,M,English,HRSB,F,Yes,,,Yes,375.95,Level 2
2017-18,6,M,English,CCRSB,M,,,,Yes,377.84,Level 2
2017-18,6,M,English,HRSB,M,,,,Yes,553.19,Level 3
2017-18,6,M,English,HRSB,F,,,,Yes,547.15,Level 3
2017-18,6,M,English,SRSB,M,,,,Yes,663.05,Level 4
2017-18,6,M,French Imm,SRSB,M,,,,Yes,667.22,Level 4
2017-18,6,M,English,AVRSB,F,,,,Yes,592.86,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,655.39,Level 4
2017-18,6,M,English,AVRSB,F,,,,Yes,388.35,Level 2
2017-18,6,M,English,CCRSB,M,,,,Yes,442.8,Level 2
2017-18,6,M,English,SSRSB,M,,,,Yes,468.41,Level 3
2017-18,6,M,English,HRSB,M,Yes,,,Yes,518.87,Level 3
2017-18,6,M,English,CCRSB,M,,,,Yes,365.86,Level 1
2017-18,6,M,English,HRSB,M,,,,Yes,531.05,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,443.08,Level 2
2017-18,6,M,English,CBVRSB,M,,,,Yes,561.39,Level 3
2017-18,6,M,CSAP,CSAP,M,,,,Yes,584.97,Level 3
2017-18,6,M,English,AVRSB,M,,,,Yes,517.19,Level 3
2017-18,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2017-18,6,M,English,HRSB,M,,,,Yes,627.87,Level 4
2017-18,6,M,English,CCRSB,M,,,,Yes,428.19,Level 2
2017-18,6,M,French Imm,HRSB,F,,,,Yes,533.44,Level 3
2017-18,6,M,English,CCRSB,F,,,,Yes,596.84,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,431.4,Level 2
2017-18,6,M,English,HRSB,F,,,,Yes,454.9,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,641.08,Level 4
2017-18,6,M,English,HRSB,M,,,,Yes,378.35,Level 2
2017-18,6,M,English,AVRSB,M,,,,Yes,467.69,Level 3
2017-18,6,M,English,CCRSB,M,,,,Yes,456.85,Level 3
2017-18,6,M,English,CCRSB,M,,,,Yes,448.67,Level 3
2017-18,6,M,English,CCRSB,M,Yes,,,Yes,361.37,Level 1
2017-18,6,M,English,AVRSB,M,,,,Yes,410.75,Level 2
2017-18,6,M,French Imm,TCRSB,M,,,,Yes,623.91,Level 3
2017-18,6,M,English,CCRSB,F,,,,Yes,597.03,Level 3
2017-18,6,M,French Imm,CCRSB,F,,,,Yes,438.61,Level 2
2017-18,6,M,English,HRSB,F,,,,Yes,565.05,Level 3
2017-18,6,M,English,CCRSB,F,,,,Yes,338.25,Level 1
2017-18,6,M,English,CBVRSB,F,,,,Yes,585.91,Level 3
2017-18,6,M,English,HRSB,M,,,,Yes,524.16,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,538.11,Level 3
2017-18,6,M,English,CBVRSB,F,,,,Yes,506.55,Level 3
2017-18,6,M,English,CBVRSB,M,,,,Yes,504.72,Level 3
2017-18,6,M,French Imm,AVRSB,M,,,,Yes,481.9,Level 3
2017-18,6,M,English,CBVRSB,F,,,,Yes,415.4,Level 2
2017-18,6,M,French Imm,HRSB,M,,,,Yes,369.88,Level 1
